,id,pair,fx_timestamp,entry_timestamp,max_rate,min_rate,mean_rate,kb_upper,kb_lower,vol,fd
0,1,EUR:USD,2025-04-04 02:20:55.570120,2025-04-03 22:20:56.191760,1.11,1.11,1.11,1.110111,1.1098890000000001,,1.0
1,2,GBP:USD,2025-04-04 02:20:55.570120,2025-04-03 22:20:56.197797,1.31,1.31,1.31,1.3101310000000002,1.309869,,1.0
2,3,USD:CHF,2025-04-04 02:20:55.570120,2025-04-03 22:20:56.202606,0.86,0.86,0.8599999999999999,0.8600859999999999,0.8599139999999998,,1.0
3,4,EUR:USD,2025-04-04 02:26:56.211492,2025-04-03 22:26:57.266420,1.11,1.11,1.11,1.110111,1.1098890000000001,,1.0
4,5,GBP:USD,2025-04-04 02:26:56.211492,2025-04-03 22:26:57.272520,1.31,1.31,1.31,1.3101310000000002,1.309869,,1.0
5,6,USD:CHF,2025-04-04 02:26:56.211492,2025-04-03 22:26:57.277941,0.86,0.86,0.8599999999999999,0.8600859999999999,0.8599139999999998,,1.0
6,7,EUR:USD,2025-04-04 02:32:57.284854,2025-04-03 22:32:57.729757,1.11,1.11,1.11,1.110111,1.1098890000000001,,1.0
7,8,GBP:USD,2025-04-04 02:32:57.284854,2025-04-03 22:32:57.759445,1.31,1.31,1.31,1.3101310000000002,1.309869,,1.0
8,9,USD:CHF,2025-04-04 02:32:57.284854,2025-04-03 22:32:57.765861,0.86,0.86,0.86,0.860086,0.859914,,1.0
9,10,EUR:USD,2025-04-04 02:38:57.775972,2025-04-03 22:50:10.414436,1.11,1.11,1.11,1.110111,1.1098890000000001,,1.0
10,11,GBP:USD,2025-04-04 02:38:57.775972,2025-04-03 22:50:10.418579,1.31,1.31,1.31,1.3101310000000002,1.309869,,1.0
11,12,USD:CHF,2025-04-04 02:38:57.775972,2025-04-03 22:50:10.422399,0.86,0.86,0.86,0.860086,0.859914,,1.0
12,13,EUR:USD,2025-04-04 02:56:10.429120,2025-04-03 23:02:55.550114,1.11,1.11,1.11,1.110111,1.1098890000000001,,1.0
13,14,GBP:USD,2025-04-04 02:56:10.429120,2025-04-03 23:02:55.555900,1.31,1.31,1.31,1.3101310000000002,1.309869,,1.0
14,15,USD:CHF,2025-04-04 02:56:10.429120,2025-04-03 23:02:55.560602,0.86,0.86,0.86,0.860086,0.859914,,1.0
15,16,EUR:USD,2025-04-04 03:08:55.566740,2025-04-03 23:20:38.834252,1.11,1.11,1.11,1.110111,1.1098890000000001,,1.0
16,17,GBP:USD,2025-04-04 03:08:55.566740,2025-04-03 23:20:38.836866,1.31,1.31,1.31,1.3101310000000002,1.309869,,1.0
17,18,USD:CHF,2025-04-04 03:08:55.566740,2025-04-03 23:20:38.839662,0.86,0.86,0.86,0.860086,0.859914,,1.0
